Item #,Description,Vendor Name,class,Full Case Qty
AR-4068-90H,"SutureLasso Hip Length, 90 degStraight, w/nitinol wire      ",                                        ,Arthro Retriever/Passer,1
AR-1255-18,"Suture Passing Wire, Nitinol                                ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-13990N,Scorpion Needle (used w/      Scorpion Suture Passer)       ,Arthrex                                 ,Arthro Retriever/Passer,5
AR-13991N,"SureFire Scorpion Needle,     Stainless Steel (green)       ",Arthrex                                 ,Arthro Retriever/Passer,5
AR-4065-45L,"SutureLasso (45 deg, curve    left) nitinol wire loop       ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-4065-45R,"SutureLasso (45 deg, curve    right) nitinol wire loop      ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-4065B,"Banana SutureLasso, Yellow, w/nitinol wire loop             ",Arthrex                                 ,Arthro Retriever/Passer,5
AR-4065W,"SutureLasso (45deg), white,   w/ nitinol wire loop          ",Arthrex                                 ,Arthro Retriever/Passer,5
AR-4068-25TR,"SutureLasso SD 25 deg, tight  curve right, light green      ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-4068-30,"SutureLass SD, 30 deg,        Straight, w/nitinol wire      ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-4068-45L,"SutureLasso SD 45 deg, Curve  Left, w/Nitinol Wire (blue)   ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-4068-45R,"SutureLasso SD 45 deg, Curve  Right, w/Nitinol Wire         ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-4068-90,"SutureLasso SD 90 deg,        Straight, w/nitinol wire(blk) ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-4068-90L,"SutureLasso SD, 90 deg, Left, w/nitinol wire (orange)       ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-4068-90R,"SutureLasso SD, 90 deg, Right,w/nitinol wire (yellow)       ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-4068C,"SutureLasso SD, Crescent,     w/nitinol wire (white)        ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-4068CH,"SutureLasso Hip Length,       w/nitinol wire (light gray)   ",Arthrex                                 ,Arthro Retriever/Passer,1
AR-8701,"Micro SutureLasso, Small Curvew/nitinol wire (orange)       ",Arthrex                                 ,Arthro Retriever/Passer,5
AR-8702,"Micro SutureLasso, Major Bend,w/nitinol wire (orange)       ",Arthrex                                 ,Arthro Retriever/Passer,5
AR-8703,"Micro SutureLasso, Straight,  w/nitinol wire (orange)       ",Arthrex                                 ,Arthro Retriever/Passer,5
AR-8704,"Micro SutureLasso, TFCC, Short70 deg (orange)               ",Arthrex                                 ,Arthro Retriever/Passer,5
22701,"Hoffee Suture Retriever, blue suture loop                   ","Beatty Marketing and Sales, LLC         ",Arthro Retriever/Passer,5
C6380,"Suture Hook, 45 deg Right     (red)                         ",Conmed                                  ,Arthro Retriever/Passer,5
C6381,"Suture Hook, 45 deg Left      (blue)                        ",Conmed                                  ,Arthro Retriever/Passer,5
C6382,"Suture Hook, 60 deg Right     (orange)                      ",Conmed                                  ,Arthro Retriever/Passer,5
C6383,"Suture Hook, 60 deg Left      (yellow)                      ",Conmed                                  ,Arthro Retriever/Passer,5
C6384,"Suture Hook, Straight (pink)                                ",Conmed                                  ,Arthro Retriever/Passer,5
C6385,"Suture Hook, Small (white)                                  ",Conmed                                  ,Arthro Retriever/Passer,5
C6386,"Suture Hook, Medium (teal)                                  ",Conmed                                  ,Arthro Retriever/Passer,5
C6387,"Suture Hook, Large (purple)                                 ",Conmed                                  ,Arthro Retriever/Passer,5
71111579,Hewson Suture Retriever       (black)                       ,Smith & Nephew                          ,Arthro Retriever/Passer,5
7205305,Full Radius                    (Beige)                      ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205306,Full Radius                   (Yellow)                      ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205307,Full Radius                    (Orange)                     ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205308,Cutter                         (Red)                        ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205309,Cutter                         (Blue)                       ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205310,Synovator                      (Forest Green)               ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205311,"SYNOVATOR, Straight Blade     (Melon Yellow)                ",Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205312,Incisor                        (Medium Grey)                ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205313,Incisor                        (Lime Green)                 ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205314,"INCISOR, Straight Blade       (Mocha)                       ",Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205315,Turbotrimmer                   (Powder Blue)                ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205316,Turbowhisker                   (Navy Blue)                  ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205317,Razorcut                       (Purple)                     ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205318,Razorcut                       (Pink)                       ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205324,Abrader                        (Aqua)                       ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205325,Abrader                        (Black)                      ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205326,Acromionizer                   (Mauve)                      ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205327,Acromionizer                   (Brown)                      ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205328,Notchblaster                   (Lilac)                      ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205329,Notchblaster                  (Peach)                       ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
7205330,Stonecutter                    (Maroon)                     ,Dyonics                                 ,Arthroscopic Shavers / Burs,6
